SN,IMEI,ICCID
868617060234491,868617060234491,89320420000001871803
868617060240431,868617060240431,89320420000001871084
868617060231869,868617060231869,89320420000001870185
868617060238336,868617060238336,89320420000001872389
868617060241223,868617060241223,89320420000001870540
868617060232354,868617060232354,89320420000001874740
868617060239219,868617060239219,89320420000001870581
868617060238351,868617060238351,89320420000001828464
868617060240472,868617060240472,89320420000001871118
868617060239789,868617060239789,89320420000001873130





1:29
SN,IMEI,ICCID
868617060235027,868617060235027,89320420000001829801
868617060232289,868617060232289,89320420000001874823
868617060239185,868617060239185,89320420000001873742
868617060234244,868617060234244,89320420000001871688
868617060240530,868617060240530,89320420000001870292
868617060237031,868617060237031,89320420000001873916
868617060235076,868617060235076,89320420000001828217
868617060240613,868617060240613,89320420000001828332
868617060236975,868617060236975,89320420000001873858
868617060238500,868617060238500,89320420000001872926
1:29
SN,IMEI,ICCID
868617060233022,868617060233022,89320420000001829231
868617060234475,868617060234475,89320420000001871845
868617060240019,868617060240019,89320420000001828233
868617060241421,868617060241421,89320420000001828308
868617060234905,868617060234905,89320420000001871670
868617060236843,868617060236843,89320420000001828266
868617060234152,868617060234152,89320420000001874310
868617060236918,868617060236918,89320420000001873924
868617060234442,868617060234442,89320420000001871829
868617060241348,868617060241348,89320420000001870490
1:29
SN,IMEI,ICCID
868617060238757,868617060238757,89320420000001872157
868617060236686,868617060236686,89320420000001870086
868617060233212,868617060233212,89320420000001828738
868617060232396,868617060232396,89320420000001828886
868617060239037,868617060239037,89320420000001872306
868617060241058,868617060241058,89320420000001828159
868617060239995,868617060239995,89320420000001871316
868617060232644,868617060232644,89320420000001828019
868617060231935,868617060231935,89320420000001874989
868617060239375,868617060239375,89320420000001829645
1:29
SN,IMEI,ICCID
868617060238112,868617060238112,89320420000001870730
868617060239300,868617060239300,89320420000001872058
868617060238641,868617060238641,89320420000001829363
868617060231984,868617060231984,89320420000001870300
868617060240373,868617060240373,89320420000001829264
868617060235092,868617060235092,89320420000001874260
868617060238005,868617060238005,89320420000001870698
868617060231851,868617060231851,89320420000001870235
868617060234525,868617060234525,89320420000001871811
868617060239250,868617060239250,89320420000001828027
1:29
SN,IMEI,ICCID
868617060240340,868617060240340,89320420000001873320
868617060239730,868617060239730,89320420000001828043
868617060239060,868617060239060,89320420000001872744
868617060232545,868617060232545,89320420000001870896
868617060232446,868617060232446,89320420000001871936
868617060241140,868617060241140,89320420000001829504
868617060232909,868617060232909,89320420000001829314
868617060232487,868617060232487,89320420000001829991
868617060238294,868617060238294,89320420000001829736
868617060238724,868617060238724,89320420000001872116
1:30
SN,IMEI,ICCID
868617060241405,868617060241405,89320420000001873213
868617060232172,868617060232172,89320420000001872660
868617060240704,868617060240704,89320420000001870888
868617060240761,868617060240761,89320420000001870797
868617060234301,868617060234301,89320420000001871704
868617060241603,868617060241603,89320420000001870946
868617060240050,868617060240050,89320420000001871290
868617060237080,868617060237080,89320420000001873890
868617060238898,868617060238898,89320420000001872793
868617060231828,868617060231828,89320420000001870268
1:30
SN,IMEI,ICCID
868617060040013,868617060040013,
868617060040187,868617060040187,
868617060016211,868617060016211,
868617060040922,868617060040922,
868617060035567,868617060035567,
868617060065861,868617060065861,
868617060029073,868617060029073,
868617060044080,868617060044080,
868617060040831,868617060040831,
868617060043926,868617060043926,
1:30
SN,IMEI,ICCID
868617060057694,868617060057694,
868617060044007,868617060044007,
868617060040898,868617060040898,
868617060065044,868617060065044,
868617060044031,868617060044031,
868617060065549,868617060065549,
868617060064054,868617060064054,
868617060041193,868617060041193,
868617060065580,868617060065580,
868617060040161,868617060040161,
1:30
SN,IMEI,ICCID
868617060066281,868617060066281,
868617060032838,868617060032838,
868617060063973,868617060063973,
868617060052950,868617060052950,
868617060057587,868617060057587,
868617060066414,868617060066414,
868617060025519,868617060025519,
868617060040286,868617060040286,
868617060029164,868617060029164,
868617060040591,868617060040591,
